id	category	title	impact	effort	suggested_fix_path	blocking
G01	pipeline	Make `just validate-strict` the default validator and CI gate	~59,401 future ERROR rows blocked at PR-time	S	`.github/workflows/validate-strict.yaml`; `just validate` aliasing	none
G02	instance	Migrate `curation_history[*].date` -> `timestamp` (ISO timezone)	8,688 records (10,031 paired errors)	S	one-shot script; mirror `scripts/normalize_media_names_to_snake_case.py`	G01 must land first to avoid regression
G03	instance	Migrate `preparation_steps[*].instruction` -> `action`+`description`	846 records (1,692 paired errors)	M	enrichment script with rule for parsing legacy `instruction` text; sample-curate first	G01
G04	instance	Migrate `references[*].reference_id` -> `reference`	497 records (994 paired errors)	S	one-shot rename script	G01
G05	instance	Normalize `category` casing UPPER -> lowercase	610 records (610 enum_mismatch + co-required field cascades)	S	one-shot script; reuse `src/culturemech/enrich/normalize_enums.py`	G01
G06	instance	Normalize `data_quality_flags` to the schema's list shape (drop false-valued keys; encode non-bool as `key:value`)	273 records currently invalid as dict; converged on the list shape already used by 5,220 records	S	scripts/migrate_data_quality_flags.py	G01
G07	schema	Broaden `Term.id` pattern to accept FOODON / UBERON / ENVO	1,872 ingredient records currently invalid; reflects real upstream practice	S	loosen regex on `Term.id`	G01
G08	instance	Re-shape ~4,784 records that are missing root `physical_state`/`name`/`medium_type`	14,352 missing_required + 4,171 multi-key 'other' rows; ~30% of corpus	L	investigate: are these supposed to be `MediaRecipe`? validate-strict against alt target classes; likely a hidden second record type lurking under `data/normalized_yaml/`	G01, G02-G05 (so the failures isolate to this issue)
G09	pipeline	Add write-time validation helper (`record_validated_yaml()`)	prevents future regressions; standardizes on `Validator(closed=True)`	M	new `src/culturemech/validation/write_validated.py`; refactor top-10 writers	G01
G10	pipeline	Add `record_curation_event()` helper; refactor 31 writers that bypass curation_history	preserves audit trail across schema migrations	M	new `src/culturemech/curation/event.py`; refactor 31 writers	none
G11	schema	Add `identifier:` to high-traffic descriptors (Ingredient/Organism/Solution/Variant/Evidence)	enables descriptor-level dedup and cross-record references	M	~5 schema diffs; regenerate dataclasses	none
G12	schema	Replace 16 `range: string` slots with enums or typed classes (growth_phase, salinity, light_cycle, ph_range, etc.)	enables validation and downstream querying; ~tens of thousands of records will gain typed values	L	per-slot enum design; migration scripts	G01, then per-slot
G13	schema	Resolve term/ontology slot naming divergence (term vs ontology_term vs *_id)	cleaner consumer code, no functional change to data	M	rename slots; migration script	G01
G14	pipeline	Wire `assign_culturemech_ids.py` into a justfile target with collision detection	prevents ID collisions; today an honor-system run	S	new `just assign-ids` target with pre-check	none
G15	pipeline	Pre-commit hook running `validate-strict` on changed YAMLs	commit-time gate; faster than full-corpus CI	S	new `.pre-commit-config.yaml` with `pre-commit-hooks` repo	G01
G16	schema	Reconcile `MediaVariant.modifications` (free text) with `MediaVariantRelationshipEnum`	currently two parallel mechanisms; consumers can't query variants uniformly	M	add `relationship` slot to `MediaVariant`; migration script to convert free-text modifications	none
G17	instance	Resolve concentration-unit enum mismatches: UG_PER_L (437), FOLD_DILUTION (67), ML_PER_L (11), MG_PER_ML (5)	519 records	S	add missing values to `ConcentrationUnitEnum`; one-shot enum migration	G01
G18	pipeline	Add term + reference validation passes to `validate-strict`	currently only schema layer; term/reference validators run only via `just validate`	M	extend `scripts/validate_strict.py` to invoke `linkml-term-validator` and `linkml-reference-validator`	G01
G19	instance	`solutions[*]` records carry `name`/`notes` fields not in `SolutionDescriptor`; ~4,000 rows	requires deciding: extend schema or drop fields	M	decide schema vs data; either add slots or migrate records	G01
G20	pipeline	`fix_schema_inconsistencies.py` mass-mutates without dry-run or curation_history	quietly rewrote large parts of the corpus historically; risky to re-run	S	add --dry-run; add curation event recording	G10
G21	instance	Re-ground Tier-1 CHEBI mis-mappings (casamino/heptacosanoate, pyridoxine/pyridoxamine, glycerol/glycerol-3-P, MnSO4/tannic acid, Ca(NO3)2/cadmium nitrate)	~1,933 ingredient occurrences carry a chemically wrong CHEBI; corrupts KG-Microbe chemistry/role inference	M	scripts/migrate_chebi_regrounding.py (keyed on term.id+preferred_term); reports/chebi_grounding_audit.md	none
G22	instance	Split shared CHEBI ids that conflate distinct species (CHEBI:32149 sulfate vs selenate; CHEBI:37583 mono/di/tri sodium phosphate)	~405 occurrences mis-grounded; selenate and phosphate speciation lost	M	scripts/migrate_chebi_regrounding.py (label-routed)	G21
G24	instance	Re-ground "shared-id garbage": CHEBI ids carrying a minority of chemically-unrelated ingredients (CHEBI:32149 sulfate also tags Na-lactate/propionate/NiCl2; CHEBI:15978 glycerol-3-P also tags agar media/whole egg)	~50+ ingredient occurrences mis-grounded; needs per-ingredient re-grounding by name (CHEBI re-enrichment), not a fixed remap	M	extend scripts/migrate_chebi_regrounding.py or re-run CHEBI enrichment on flagged minority entries	G21
G23	process	Grounding-consistency QC probe wired into CI (DONE)	blocks NEW same-name-multiple-CHEBI groundings at PR time; baseline 102 same-name + 222 same-id; reports kg_fallback layer	S	scripts/audit_chebi_consistency.py; just check-chebi-grounding; .github/workflows/chebi-consistency.yaml	none
G25	instance	Low-confidence kg_fallback chebi_term layer is frequently wrong (e.g. "Distilled water" -> CHEBI:6636 magnesium dichloride)	21,146 kg_fallback + 2,746 ambiguous chebi_term fields (61% of all chebi_terms); pollutes downstream CHEBI consumers	L	re-validate kg_fallback chebi_terms vs label (drop/replace low-confidence wrong ones); needs trusted source	G23
